period,ticker,type,region,avg_monthly_ret,annual_ret,volatility,sharpe_proxy,neg_months,neg_month_pct,max_monthly_dd,n_months
Recovery,ACWI,Conventional,Global,1.3001826611664289,16.767704222182743,2.689520397001041,0.4834254696919949,3,25.0,-4.230855624130092,12
Recovery,AGG,Conventional,Fixed Income,-0.28343732760189777,-3.34872346595797,0.8220565422888303,-0.3447905503102386,7,58.333333333333336,-1.6337088514866593,12
Recovery,IEFA,Conventional,Developed exUS,0.6562041538165087,8.164957577376075,2.850778760821792,0.23018417382460968,4,33.33333333333333,-4.665814446590877,12
Recovery,IEMG,Conventional,Emerging,-0.2607182398076474,-3.0841436450575133,2.9157800055861447,-0.08941629317306349,5,41.66666666666667,-6.180688118651812,12
Recovery,IVV,Conventional,US,2.0569759509918075,27.676905262481057,3.216793315444285,0.6394492120820978,3,25.0,-5.014134283696148,12
Rate Hike,CRBN,ESG,Global,-1.692642893000453,-18.52352182376005,6.397840640306953,-0.2645647161538622,7,58.333333333333336,-9.59558486301113,12
Rate Hike,DMXF,ESG,Developed exUS,-1.6980976522341829,-18.577755685208896,7.459340924965645,-0.2276471432684924,8,66.66666666666666,-10.274927248168808,12
Rate Hike,DSI,ESG,US,-1.90977671284015,-20.65698897979096,6.796407770403751,-0.2809979591213811,8,66.66666666666666,-10.004481852332159,12
Rate Hike,EAGG,ESG,Fixed Income,-1.3077722556727456,-14.612278074057627,2.371116464215511,-0.5515428176597073,9,75.0,-4.531933167735636,12
Rate Hike,EMXF,ESG,Emerging,-1.760454475191574,-19.19539045549641,6.166007909138625,-0.2855096038041743,10,83.33333333333334,-10.686402820337737,12
Rate Hike,ESGD,ESG,Developed exUS,-1.3257835798062334,-14.799089521871057,7.032317912714461,-0.1885272532132273,8,66.66666666666666,-10.719051067037933,12
Rate Hike,ESGE,ESG,Emerging,-2.0910133007993115,-22.398400881221537,6.726800112132958,-0.31084813967161057,10,83.33333333333334,-11.760775637463539,12
Rate Hike,ESGU,ESG,US,-1.7735380381579495,-19.324434799472655,6.834560801381423,-0.25949553887932003,8,66.66666666666666,-9.896712159583254,12
Rate Hike,EUSB,ESG,Fixed Income,-1.2783264238199263,-14.306060337768844,2.274685096378959,-0.5619795134961219,9,75.0,-4.335861731406054,12
Rate Hike,HYXF,ESG,Fixed Income,-1.4189745666768172,-15.759686164169484,3.5026533195062868,-0.40511419122598963,8,66.66666666666666,-7.057069899601931,12
Rate Hike,LCTD,ESG,US,-1.5179273254918635,-16.76879864282287,6.900156095081054,-0.2199844908688305,7,58.333333333333336,-10.8033055133257,12
Rate Hike,LDEM,ESG,Emerging,-2.172610604343024,-23.170931075080958,6.833799722569925,-0.3179213164775029,10,83.33333333333334,-11.526050933857867,12
Rate Hike,PABU,ESG,Developed exUS,-1.4652433155496858,-16.2329189897786,7.403650676136589,-0.19790821847827733,6,60.0,-10.093734474887883,10
Rate Hike,SUSA,ESG,US,-1.8666433809248457,-20.23729974667734,7.0944079562854565,-0.26311475072011464,8,66.66666666666666,-10.313980701133108,12
Rate Hike,SUSB,ESG,Fixed Income,-0.6353375562583964,-7.363201361915939,1.3122550997491556,-0.4841570487170098,9,75.0,-2.3036071292491744,12
Rate Hike,SUSC,ESG,Fixed Income,-1.637888791048678,-17.977292574526828,3.1611825974002956,-0.5181253346123221,9,75.0,-5.674396802170101,12
Rate Hike,SUSL,ESG,US,-1.794204287149902,-19.527883035912474,6.579859598793488,-0.27268124193393056,8,66.66666666666666,-9.408931905881456,12
Rate Hike,USXF,ESG,US,-1.8449289120787444,-20.02524780136683,6.994754966423984,-0.26375890519892653,8,66.66666666666666,-9.618141793140367,12
Rate Hike,ACWI,Conventional,Global,-1.621464709963627,-17.81279198240535,6.350871767618549,-0.25531372216190157,7,58.333333333333336,-9.550067857911515,12
