period,ticker,region,type,n_months,avg_monthly_return,return_std,sharpe_proxy,neg_months,neg_month_pct,max_drawdown_month
Recovery,AGG,Fixed_Income,Conventional,12,-0.0014206756584489166,0.00843779012934915,-0.16837058479416112,7,0.5833333333333334,-0.01679303286572542
Recovery,BGRN,Fixed_Income,ESG,12,-0.0029485642859752303,0.010287391666670285,-0.28661923075488294,9,0.75,-0.01824372018577547
Recovery,BNDW,Fixed_Income,Conventional,12,-0.002706491532699936,0.009575073049834246,-0.28266014458728206,7,0.5833333333333334,-0.01850921091949531
Recovery,DSI,US,ESG,12,0.023592634246317135,0.0369065405598724,0.6392534734607134,3,0.25,-0.05011410573724673
Recovery,EAGG,Fixed_Income,ESG,12,-0.000918827544679803,0.007787626326075892,-0.11798557175287469,5,0.4166666666666667,-0.016387799829634786
Recovery,EEM,Emerging,Conventional,12,-0.0030515073102874157,0.029242273675000475,-0.10435260076565733,4,0.3333333333333333,-0.060273171631137545
Recovery,EFA,Developed_exUS,Conventional,12,0.008609063966625372,0.02745060348787839,0.31362020767328314,3,0.25,-0.04534740977971219
Recovery,EMSG,Emerging,ESG,12,-0.0016532115042138067,0.03850818944849978,-0.042931426480717426,5,0.4166666666666667,-0.06872357480933344
Recovery,ESGD,Developed_exUS,ESG,12,0.009242940664718424,0.028989105945820822,0.3188418670790681,4,0.3333333333333333,-0.04842506172477379
Recovery,ESGE,Emerging,ESG,12,-0.003009443629267722,0.030168162534835338,-0.09975561573538665,5,0.4166666666666667,-0.05996274571850346
Recovery,ESGU,US,ESG,12,0.020568841562211514,0.03228871416334003,0.6370288224597365,3,0.25,-0.05071338954405413
Recovery,ESGV,US,ESG,12,0.02034771025621368,0.033104819952675314,0.6146449455185546,4,0.3333333333333333,-0.05209551876610774
Recovery,IVV,US,Conventional,12,0.021885689553857012,0.03299605897311862,0.6632819262350981,3,0.25,-0.05045076584921282
Recovery,JUST,US,ESG,12,0.020539842444988226,0.03151951104159554,0.6516548565072057,3,0.25,-0.04939466328994169
Recovery,NULC,US,ESG,12,0.018080185043408508,0.03452342679367379,0.5237077174135446,3,0.25,-0.04723771751733474
Recovery,SPY,US,Conventional,12,0.021821280089454897,0.032831618750898885,0.6646422235533989,3,0.25,-0.04965000239810835
Recovery,SUSA,US,ESG,12,0.0229981131147587,0.03492574330539239,0.658486003108426,3,0.25,-0.05449352910626126
Recovery,SUSL,US,ESG,12,0.023821373262409056,0.037259909751057044,0.6393298701356425,3,0.25,-0.052222140283333385
Recovery,VEA,Developed_exUS,Conventional,12,0.009060449843537868,0.028496606844202164,0.31794837515475216,3,0.25,-0.04643130143447294
Recovery,VSGX,Developed_exUS,ESG,12,0.005699916398734369,0.02514085072471746,0.22671931276893678,4,0.3333333333333333,-0.04160204386392996
Recovery,VTI,US,Conventional,12,0.019711664289784353,0.031091035183003966,0.6339983269698208,2,0.16666666666666666,-0.04764725455521024
Recovery,VWO,Emerging,Conventional,12,0.0011087758570121065,0.028616501335818785,0.03874603131949854,4,0.3333333333333333,-0.053984729019338595
Rate_Hike,AGG,Fixed_Income,Conventional,12,-0.011465027052601875,0.024250337730553313,-0.47277803633047716,9,0.75,-0.04155007808071265
Rate_Hike,BGRN,Fixed_Income,ESG,12,-0.011172657678072092,0.024368664767873787,-0.45848460654280354,9,0.75,-0.04190579286348639
Rate_Hike,BNDW,Fixed_Income,Conventional,12,-0.010439259001686121,0.022670990370905874,-0.4604677092132255,9,0.75,-0.0358020684132625
Rate_Hike,DSI,US,ESG,12,-0.018130822244987705,0.06838889824573073,-0.26511353026687406,8,0.6666666666666666,-0.09853256814748546
Rate_Hike,EAGG,Fixed_Income,ESG,12,-0.01206667623346111,0.025218049791821948,-0.4784936318657859,9,0.75,-0.04173491312836397
Rate_Hike,EEM,Emerging,Conventional,12,-0.017141976101947416,0.06532384415060197,-0.2624152991123296,8,0.6666666666666666,-0.11539450449124089
Rate_Hike,EFA,Developed_exUS,Conventional,12,-0.009282857180787363,0.07142493618953788,-0.12996661496698808,7,0.5833333333333334,-0.10741315966683207
Rate_Hike,EMSG,Emerging,ESG,12,-0.01948034402448451,0.07377251496161814,-0.26405964382018976,9,0.75,-0.12439345594127815
Rate_Hike,ESGD,Developed_exUS,ESG,12,-0.010511341240929237,0.07157272564412247,-0.14686238572489554,7,0.5833333333333334,-0.10496294973113152
Rate_Hike,ESGE,Emerging,ESG,12,-0.018679821589331663,0.06683671862616758,-0.2794844207390252,9,0.75,-0.11850905884140728
Rate_Hike,ESGU,US,ESG,12,-0.016561176225818496,0.06965385824523532,-0.2377639465068881,8,0.6666666666666666,-0.09965962344786328
Rate_Hike,ESGV,US,ESG,12,-0.0206371960534662,0.06846292763664392,-0.3014360730086629,8,0.6666666666666666,-0.09774679716189494
Rate_Hike,IVV,US,Conventional,12,-0.014517336102316989,0.06835941953220365,-0.2123677497799403,7,0.5833333333333334,-0.09700905643931701
Rate_Hike,JUST,US,ESG,12,-0.014176335989216055,0.06945424830084979,-0.20411042284713063,8,0.6666666666666666,-0.1000740137086995
Rate_Hike,NULC,US,ESG,12,-0.01337437798354484,0.06773694836197824,-0.19744582988997003,8,0.6666666666666666,-0.08902619726288785
Rate_Hike,SPY,US,Conventional,12,-0.014535086687703489,0.06822497306045125,-0.21304642619388894,7,0.5833333333333334,-0.09615895759606907
Rate_Hike,SUSA,US,ESG,12,-0.01759627430012513,0.07210395001164581,-0.24404036529598008,8,0.6666666666666666,-0.10335468295397499
Rate_Hike,SUSL,US,ESG,12,-0.01670499786211005,0.06658264956136706,-0.2508911551606789,8,0.6666666666666666,-0.09522408929763382
Rate_Hike,VEA,Developed_exUS,Conventional,12,-0.0112323513430313,0.07020067198308767,-0.1600034732678532,7,0.5833333333333334,-0.10349357796345315
Rate_Hike,VSGX,Developed_exUS,ESG,12,-0.014884901291208572,0.06474174790472917,-0.22991194666403622,8,0.6666666666666666,-0.10396050127243539
Rate_Hike,VTI,US,Conventional,12,-0.01590972017725566,0.06819025981961689,-0.23331367587308666,8,0.6666666666666666,-0.09614197658464174
Rate_Hike,VWO,Emerging,Conventional,12,-0.015278534971880031,0.06038467346858259,-0.2530200809950437,9,0.75,-0.11281292183735003
Rebound,AGG,Fixed_Income,Conventional,12,0.004791622773452094,0.025405992986569245,0.1886020662914125,7,0.5833333333333334,-0.02903604851555186
Rebound,BGRN,Fixed_Income,ESG,12,0.005420283158930302,0.021686908023637708,0.24993342310588715,6,0.5,-0.024689490049174867
Rebound,BNDW,Fixed_Income,Conventional,12,0.004993037443792249,0.02029414777985013,0.24603336380302646,7,0.5833333333333334,-0.023208824714973764
Rebound,DSI,US,ESG,12,0.022108053215781437,0.04591799982281028,0.481468123635451,4,0.3333333333333333,-0.054471483593432346
Rebound,EAGG,Fixed_Income,ESG,12,0.004665528108206428,0.025285783391137566,0.18451190679113594,7,0.5833333333333334,-0.029186592252659405
Rebound,EEM,Emerging,Conventional,12,0.008386556404345685,0.05800648718483941,0.14457962913047417,6,0.5,-0.07567684331797231
Rebound,EFA,Developed_exUS,Conventional,12,0.014482192671502256,0.04831304789610606,0.29975738029704174,5,0.4166666666666667,-0.04007074053270676
Rebound,EMSG,Emerging,ESG,12,0.005264861396819383,0.058887555532115325,0.08940533104567572,6,0.5,-0.07815767802811535
Rebound,ESGD,Developed_exUS,ESG,12,0.014700843491816338,0.04901714515106973,0.2999122745012724,5,0.4166666666666667,-0.039192189808542
Rebound,ESGE,Emerging,ESG,12,0.009015948504935275,0.05967751221674079,0.1510778209418407,6,0.5,-0.07785515773993268
Rebound,ESGU,US,ESG,12,0.02024998339500524,0.04422789638778382,0.457855449815119,4,0.3333333333333333,-0.05342206699871843
Rebound,ESGV,US,ESG,12,0.023703831082639026,0.04752713523602774,0.4987431067520022,4,0.3333333333333333,-0.05359832628113037
Rebound,IVV,US,Conventional,12,0.02050307067774738,0.042863356780408576,0.47833562786008066,4,0.3333333333333333,-0.05138178626375245
Rebound,JUST,US,ESG,12,0.01949025966067434,0.042093220802559395,0.463026095154241,4,0.3333333333333333,-0.05278064672821081
Rebound,NULC,US,ESG,12,0.018735903292787848,0.04454059395709053,0.4206478097449177,6,0.5,-0.050130879431111164
Rebound,SPY,US,Conventional,12,0.020428484137920994,0.0426486824316189,0.47899449580125164,4,0.3333333333333333,-0.050782730440929624
Rebound,SUSA,US,ESG,12,0.019090148613535363,0.04794284548735164,0.3981855565617555,5,0.4166666666666667,-0.05790575407488163
Rebound,SUSL,US,ESG,12,0.022450260742937055,0.044749728334824254,0.5016848499048039,4,0.3333333333333333,-0.05418281891530008
Rebound,VEA,Developed_exUS,Conventional,12,0.014893171648275657,0.05106249050891191,0.2916655944479708,5,0.4166666666666667,-0.04437173843030784
Rebound,VSGX,Developed_exUS,ESG,12,0.01316217387730606,0.05053032041838235,0.2604807127349585,5,0.4166666666666667,-0.044976411815828676
Rebound,VTI,US,Conventional,12,0.020431547148239398,0.04499894385974945,0.4540450374106437,4,0.3333333333333333,-0.051487041734755046
Rebound,VWO,Emerging,Conventional,12,0.008271992148430904,0.05353755396907654,0.15450821965472744,6,0.5,-0.06654046424717064
Anti_ESG,AGG,Fixed_Income,Conventional,24,0.0034971973169405646,0.013771364566017517,0.2539470435319326,8,0.3333333333333333,-0.0251085586103984
Anti_ESG,BGRN,Fixed_Income,ESG,24,0.004107594190986298,0.010880915023019038,0.37750448214111665,5,0.20833333333333334,-0.01918946472446681
Anti_ESG,BNDW,Fixed_Income,Conventional,24,0.003240515872443233,0.012478956747755133,0.2596784280886442,8,0.3333333333333333,-0.02336036458963242
Anti_ESG,DSI,US,ESG,24,0.016048698175750973,0.034935170908132286,0.45938513419481003,7,0.2916666666666667,-0.06131982480474929
Anti_ESG,EAGG,Fixed_Income,ESG,24,0.0034376486413827075,0.01380807333421619,0.24895932677763724,7,0.2916666666666667,-0.025506296379845583
Anti_ESG,EEM,Emerging,Conventional,24,0.015504864589107076,0.028902286926605184,0.536458053595562,6,0.25,-0.03328706443835183
Anti_ESG,EFA,Developed_exUS,Conventional,24,0.013155244573323755,0.0306868862649211,0.42869271452808894,6,0.25,-0.052732185221403105
Anti_ESG,EMSG,Emerging,ESG,11,0.012642469553190462,0.03190773483696029,0.3962195880650879,3,0.2727272727272727,-0.0333328702294684
Anti_ESG,ESGD,Developed_exUS,ESG,24,0.012653499859039736,0.029701340641340106,0.4260245357890625,6,0.25,-0.053463233889140094
Anti_ESG,ESGE,Emerging,ESG,24,0.01609562383363754,0.029793725613082047,0.5402353516530392,6,0.25,-0.033294772891406144
Anti_ESG,ESGU,US,ESG,24,0.016181873367137858,0.031741803508123605,0.50979691065747,8,0.3333333333333333,-0.06143652703093616
Anti_ESG,ESGV,US,ESG,24,0.01628492235291586,0.03399626613835338,0.47902091031531807,8,0.3333333333333333,-0.06944724887625164
Anti_ESG,IVV,US,Conventional,24,0.016711842310291467,0.030426166936599938,0.5492588778965984,7,0.2916666666666667,-0.05885697117106603
Anti_ESG,JUST,US,ESG,24,0.01625590587729792,0.030623015252157958,0.5308394925660493,6,0.25,-0.061964751374561367
Anti_ESG,NULC,US,ESG,24,0.011055174898455445,0.04052315325925522,0.2728113191914678,7,0.2916666666666667,-0.08822410950941262
Anti_ESG,SPY,US,Conventional,24,0.016678514029928055,0.0305369192854444,0.5461753975253806,7,0.2916666666666667,-0.05855117501376894
Anti_ESG,SUSA,US,ESG,24,0.015135101467419592,0.031222558008447324,0.4847489261874303,6,0.25,-0.059906652000795035
Anti_ESG,SUSL,US,ESG,24,0.016729582807783434,0.03401104172288235,0.4918868097041529,6,0.25,-0.0615143851753972
Anti_ESG,VEA,Developed_exUS,Conventional,24,0.014212353138597025,0.02983957954371073,0.47629200397337884,6,0.25,-0.04930417796386044
Anti_ESG,VSGX,Developed_exUS,ESG,24,0.01378513006174624,0.024369437041239055,0.5656728975075799,8,0.3333333333333333,-0.03587824166335973
Anti_ESG,VTI,US,Conventional,24,0.016147893234601685,0.03200807680505833,0.5044943291328827,7,0.2916666666666667,-0.061851566816806036
Anti_ESG,VWO,Emerging,Conventional,24,0.014177996128270582,0.02575000619994666,0.5506016588182395,6,0.25,-0.03357479408087716
