,period,ticker,region,type,avg_monthly_ret,annual_ret,volatility,sharpe_proxy,neg_months,neg_month_pct,max_monthly_dd,n_months
111,Anti-ESG,BGRN,Fixed Income,ESG,0.4107594190986271,5.042009294994632,1.088091502301901,0.37750448214111504,5,20.833333333333336,-1.9189464724466798,24
112,Anti-ESG,BNDW,Fixed Income,Conventional,0.32405158724432126,3.9586793846869472,1.247895674775509,0.2596784280886435,8,33.33333333333333,-2.33603645896324,24
113,Anti-ESG,DSI,US,ESG,1.604869817575096,21.052645455564356,3.4935170908132243,0.45938513419481014,7,29.166666666666668,-6.13198248047492,24
114,Anti-ESG,EAGG,Fixed Income,ESG,0.34376486413826873,4.204074078237752,1.3808073334216147,0.24895932677763657,7,29.166666666666668,-2.55062963798455,24
115,Anti-ESG,EEM,Emerging,Conventional,1.5504864589107046,20.27741836857313,2.8902286926605147,0.5364580535955616,6,25.0,-3.3287064438351797,24
116,Anti-ESG,EFA,Developed exUS,Conventional,1.3155244573323734,16.980093091629534,3.0686886264921056,0.4286927145280889,6,25.0,-5.27321852214031,24
117,Anti-ESG,EMSG,Emerging,ESG,1.2642469553190434,16.271600181799762,3.190773483696026,0.39621958806508745,3,27.27272727272727,-3.3332870229468403,11
118,Anti-ESG,ESGD,Developed exUS,ESG,1.2653499859039725,16.286799087877093,2.9701340641340073,0.42602453578906263,6,25.0,-5.346323388914,24
119,Anti-ESG,ESGE,Emerging,ESG,1.6095623833637527,21.119751508835847,2.979372561308203,0.540235351653039,6,25.0,-3.3294772891406104,24
120,Anti-ESG,ESGU,US,ESG,1.6181873367137847,21.243181629900178,3.174180350812356,0.5097969106574705,8,33.33333333333333,-6.1436527030936094,24
121,Anti-ESG,ESGV,US,ESG,1.6284922352915843,21.390804310804068,3.3996266138353346,0.47902091031531807,8,33.33333333333333,-6.94472488762516,24
122,Anti-ESG,IVV,US,Conventional,1.6711842310291454,22.004144841616323,3.04261669365999,0.5492588778965988,7,29.166666666666668,-5.8856971171066,24
123,Anti-ESG,JUST,US,ESG,1.6255905877297905,21.34922014284182,3.062301525215793,0.5308394925660493,6,25.0,-6.1964751374561295,24
124,Anti-ESG,NULC,US,ESG,1.1055174898455427,14.103318834754862,4.05231532592552,0.27281131919146756,7,29.166666666666668,-8.82241095094126,24
125,Anti-ESG,SPY,US,Conventional,1.6678514029928033,21.95616127161322,3.0536919285444353,0.5461753975253807,7,29.166666666666668,-5.85511750137689,24
126,Anti-ESG,SUSA,US,ESG,1.5135101467419576,19.752928169762217,3.1222558008447288,0.48474892618743026,6,25.0,-5.9906652000795,24
127,Anti-ESG,SUSL,US,ESG,1.6729582807783396,22.02969334254721,3.4011041722882314,0.4918868097041522,6,25.0,-6.15143851753972,24
128,Anti-ESG,VEA,Developed exUS,Conventional,1.4212353138596998,18.453187437510277,2.98395795437107,0.47629200397337845,6,25.0,-4.93041779638604,24
129,Anti-ESG,VSGX,Developed exUS,ESG,1.3785130061746231,17.855811288095435,2.436943704123901,0.5656728975075805,8,33.33333333333333,-3.58782416633597,24
130,Anti-ESG,VTI,US,Conventional,1.6147893234601671,21.19453952906185,3.2008076805058288,0.504494329132883,7,29.166666666666668,-6.1851566816806,24
131,Anti-ESG,VWO,Emerging,Conventional,1.4177996128270567,18.405044392803838,2.575000619994663,0.5506016588182396,6,25.0,-3.35747940808771,24
